内容,时间,分词,情感分值,情感类型
只是郑专生,2023-02-22 13:24,郑专生,0.6105,pos
你好，我可以吗,2023-02-22 14:02,你好,0.7452,pos
你好 不是高材生 也不正经,2023-02-22 14:07,你好 高材生 不正经,0.2339,neg
诡计多端的0可以吗,2023-02-22 19:09,诡计多端,0.573,pos
你自己心里没答案吗,2023-02-23 00:20,答案,0.6555,pos
学信网也不标注，是否是对我们主区的不尊重。,2023-02-14 08:13,学信 标注 是否是 主区 尊重,0.1358,neg
你说得对,2023-02-14 08:53,说得对,0.5536,pos
你说的对，但郑州大学是，后边忘了,2023-02-14 09:11,郑州大学 后边,0.5911,pos
不是新校区的有难了,2023-02-14 09:23,校区,0.9135,pos
大家拿的难道不是西亚斯的毕业证吗？,2023-02-14 10:54,西亚斯 毕业证,0.1911,neg
挂我北校区是吧，今晚别睡太死,2023-02-14 10:57,北校区 今晚,0.8772,pos
别忘了南校区才是根,2023-02-14 12:36,别忘了 南校区,0.3675,pos
北区才是core area,2023-02-15 10:51,北区,0.673,pos
你说得对，但是,2023-02-16 15:03,说得对,0.5536,pos
给主校区✌️磕一个,2023-02-22 20:21,校区,0.9135,pos
错误的，东校区临床口腔分高，拿一样的毕业证是对东校区的不尊重,2023-02-23 09:31,错误 东校区 临床 口腔 分高 毕业证 东校区 尊重,0.5896,pos
现在能租校园卡进图书馆吗？,2023-02-22 22:38,能租 校园卡 图书馆,0.8955,pos
这个随缘是骗子,2023-02-23 08:47,随缘 骗子,0.0559,neg
校友可以进,2023-02-21 21:36,校友,0.9688,pos
怎么进啊，前几天不让进，要扫码,2023-02-23 00:38,几天 不让 扫码,0.2737,neg
校友用校园卡还能走东门吗？,2023-02-23 07:58,校友 校园卡 东门,0.9336,pos
有没有缺流量的，私我，,2023-02-23 08:58,有没有 流量,0.177,neg
寻找一个马克思主义学院的博士生询问一些问题，认识的请私聊，重谢！,2023-02-22 22:40,寻找 马克思主义 学院 博士生 询问 私聊 重谢,0.408,pos
能帮忙找到的100r以上，博士本人不低于2k。,2023-02-23 08:56,帮忙 找到 博士 低于,0.6775,pos
考研的同学们很多时间都用在找资料上面。有几百的也有几十块的，也有十几块的，我感觉其实内容都差不多，最实惠的就是关注公众号（金榜资料），里面资料和网盘里都是一样的还免费何乐而不为呢,2023-02-23 08:52,考研 同学 时间 资料 几百 几十块 十几块 感觉 内容 实惠 关注 公众 金榜 资料 资料 网盘 免费,0.99,pos
有没有学弟学妹帮忙打印个成绩单呀，有偿～,2023-02-22 10:27,有没有 学弟 学妹 帮忙 打印 成绩单 有偿,0.9228,pos
24加油 23复试资料在里面！,2023-01-30 12:38,加油 复试 资料,0.8985,pos
复试必胜！,2023-02-21 12:15,复试 必胜,0.9212,pos
本人有郑大化工院复试资料，有需要的私聊,2023-02-06 09:46,郑大 化工 复试 资料 私聊,0.9424,pos
992化工原理？材料与化工？,2023-02-23 00:30,化工 原理 材料 化工,0.343,neg
本科河海大学考土木水利专硕323有希望调剂到贵校吗，有没有好兄弟说一下,2023-02-21 17:17,本科 河海大学 土木 水利 专硕 希望 调剂 贵校 有没有 兄弟,0.6355,pos
不知道帮顶,2023-02-21 17:34,帮顶,0.9216,pos
有没有学长学姐啊,2023-02-21 19:30,有没有 学长 学姐,0.9834,pos
土木水利专硕就别想了，郑大年年专硕爆满，而且保护第一志愿，建议你看一下西安理工,2023-02-22 15:49,土木 水利 专硕 郑大年 专硕 爆满 保护 第一 志愿 建议 西安理工,0.8001,pos
学长学姐们，复试想了解一下老师，老师平常督促的紧吗，有鼓励型老师吗,2023-02-23 00:27,学长 学姐 复试 老师 老师 平常 督促 鼓励 老师,0.9967,pos
想顶贴，让学长学姐看到，其他电气的老师也行，孩子不知道怎么了解了,2023-02-23 00:30,想顶 学长 学姐 电气 老师 孩子,0.9943,pos
214285070，学长学姐们看到的话可以加我一下qq吗,2023-02-23 00:32,学长 学姐,0.9876,pos
直接评论也可以，救命救命🆘🆘🆘,2023-02-23 00:36,评论 救命 救命,0.0545,neg
想问一下学长学姐们，管新建老师和荐圣淇老师人怎么样啊，选导师比较推荐哪一个呀,2023-02-22 23:21,学长 学姐 新建 老师 和荐 圣淇 老师 导师 推荐,0.999,pos
各位生科院的研究生学长学姐，在选导师这方面可以给提点意见吗？求求了，拜托了！,2023-02-22 22:44,生科院 研究生 学长 学姐 导师 这方面 提点 意见 求求 拜托,0.9845,pos
学校打印店（本部）可以买到医学院往年的复试真题吗,2023-02-22 22:42,学校 打印 本部 医学院 往年 复试 真题,0.5642,pos
有没有同学有多壮志老师的邮箱啊，23考研想联系他,2023-02-22 22:27,有没有 同学 壮志 老师 邮箱 考研,0.5018,pos
24加油 23复试资料在里面 加油！,2023-01-31 04:56,加油 复试 资料 加油,0.9868,pos
复试必胜！,2023-02-21 20:29,复试 必胜,0.9212,pos
23考研085402通信工程，专业课943，求推荐导师，人品好，不push,2023-02-22 15:38,考研 通信工程 专业课 推荐 导师 人品,0.9659,pos
初试成绩还不错,2023-02-22 15:39,初试 成绩 不错,0.9869,pos
老哥咱俩考的一个方向,2023-02-22 17:49,老哥 咱俩 方向,0.6579,pos
我也想找学长😭,2023-02-22 17:49,学长,0.9262,pos
求085402，集成电路的学长学姐，有偿,2023-02-22 20:25,集成电路 学长 学姐 有偿,0.9861,pos
顶顶顶,2023-02-22 21:50,顶顶顶,0.8394,pos
#郑大##非全##MEM#,2023-02-22 13:48,郑大 非全,0.5695,pos
每周都上,2023-02-22 21:38,每周,0.9063,pos
本人今年考研，有相关的问题想向您咨询一下,2022-02-20 00:07,考研 相关 咨询,0.862,pos
400分药学院准研一师兄在线解答郑大药学考研有关报考及复习方法问题,2018-06-29 07:55,药学院 准研 师兄 在线 解答 郑大 药学 考研 报考 复习方法,0.9694,pos
其实是399分，差一分上400啊,2018-06-29 08:15,一分,0.3,neg
学长，我今年考研，我想问下药分专业怎么样啊，谢谢学长了,2018-06-29 08:26,学长 考研 下药 专业 谢谢 学长,0.9974,pos
学长。问一下，药剂的话多少分能上,2018-07-02 21:11,学长 药剂 分能,0.9168,pos
学长，想问下719无机的课本是那个版本，我已经复习了，发现版本不太对,2018-07-25 21:15,学长 问下 无机 课本 版本 复习 发现 版本 不太对,0.0231,neg
学长，我也想考郑大药学院，请问您是怎么规划复习时间的呀？用了哪些资料呢?,2018-08-13 10:34,学长 郑大 药学院 请问 规划 复习 时间 资料,0.8824,pos
药学院的药理是不是比医学院的分高,2019-01-21 09:14,药学院 药理 医学院 分高,0.5975,pos
学长好，想问一下今年药理线多少分？,2019-02-16 10:53,学长 药理,0.9117,pos
出药剂学硕资料,2019-07-03 14:30,药剂学 资料,0.7627,pos
考郑大药剂，可以加一下学长吗？,2020-02-20 13:38,郑大 药剂 学长,0.9718,pos
学长我能加一下你q吗,2020-03-12 22:05,学长 能加,0.898,pos
学长知道校选修课没过有什么影响么,2020-03-12 22:26,学长 选修课 没过 影响,0.33,neg
有没有组固定队伍的？贴主也平时兼职一下，一天有时候运气好赚个两三百，再不好也能挣个一百多，有兴趣可以，加我企鹅：2686719017,2020-07-06 14:08,有没有 固定 队伍 贴主 平时 兼职 有时候 运气 好赚 两三百 不好 挣个 一百多 兴趣 企鹅,0.0335,neg
郑州大学考研药学需要学位证吗？,2020-07-15 21:52,郑州大学 考研 药学 学位证,0.7998,pos
我想问一下报重修了，但是没有缴费，会有什么后果，这学期不缴费，下学期还可以吗，在线等，比较急,2020-07-15 22:38,重修 缴费 后果 学期 缴费 下学期 在线,0.173,neg
学长 请问有导师推荐吗 好相处的那种,2023-02-22 21:02,学长 请问 导师 推荐 相处 那种,0.9789,pos
你好 请问可以咨询药学方面问题吗,2023-02-22 20:48,你好 请问 咨询 药学,0.8276,pos
想进长垣老乡群#考研##租房#,2022-03-14 11:31,长垣 老乡 考研 租房,0.2866,neg
学长 想咨询药学专硕的问题 有导师推荐吗 好相处的,2023-02-22 20:48,学长 咨询 药学 专硕 导师 推荐 相处,0.9976,pos
#2023药学考研#本人是2022届药学考研的，考到了郑州大学。专业课是349药学综合，我考研期间买了学长学姐的专业课资料，觉得药物化学写的不是很好，我就自己花费一个月写了一套，内容质量绝对可以。有兴趣的可以加我QQ861683196咨询。价格超低享受无价的服务#药学考研#,2022-07-01 17:06,药学 考研 药学 考研 考到 郑州大学 专业课 药学 综合 考研 期间 学长 学姐 专业课 资料 药物 化学 花费 一个月 一套 内容 质量 兴趣 咨询 价格 超低 享受 无价 服务 药学 考研,0.8639,pos
请问能推荐导师吗 好相处的,2023-02-22 20:47,请问 推荐 导师 相处,0.9728,pos
如题，本人系郑州大学19级药学院学生，报名了本校预推免，还有几天就要复试了，本科成绩在保研边缘，基础不牢，复试没有底，两眼一抹黑，蹲好心的学长学姐指导一下复试，有偿的，求求啦，联系QQ：3254791760，再次求求啦,2022-09-24 12:16,郑州大学 药学院 学生 报名 本校 预推免 几天 复试 本科 成绩 保研 边缘 基础 不牢 复试 两眼一抹黑 好心 学长 学姐 指导 复试 有偿 求求 求求,0.6306,pos
是因为保研名额扩容了吗,2022-09-25 00:38,是因为 保研 名额 扩容,0.8703,pos
请问有好的导师推荐吗,2023-02-22 20:46,请问 导师 推荐,0.9571,pos
请问有药学专硕导师推荐吗 想要好相处的导师,2023-02-22 20:45,请问 药学 专硕 导师 推荐 想要 相处 导师,0.9972,pos
数十年硕士录取经验，提供专业的复试指导和个性化调剂信息，给自己一个录取的机会！,2023-02-22 20:30,数十年 硕士 录取 经验 提供 专业 复试 指导 个性化 调剂 信息 录取 机会,0.9843,pos
🐭🐭上次在学校吃早饭还是隔离餐,2023-02-22 19:11,上次 学校 早饭 隔离,0.7594,pos
一起聊聊,2023-02-22 19:35,聊聊,0.7753,pos
开学了吗。能外出吗？考研合租吗？,2023-02-18 21:08,开学 外出 考研 合租,0.7696,pos
已经毕业的还可以进去吗？急求,2023-02-18 23:29,毕业 急求,0.9159,pos
你要找合租的一块学习吗？,2023-02-19 07:20,合租 一块 学习,0.4252,pos
要不咱俩合租吧,2023-02-19 07:20,咱俩 合租,0.4079,pos
24考研资料持续更新ing☛苇❤️kaoyango23,2023-02-19 19:09,考研 资料 持续 更新,0.7226,pos
翰林国际孔园，家电齐全拎包入住，房东直租价低免纠纷，请联系🐧🐧491177964，祝学弟学妹们生活愉快！,2023-02-20 15:53,翰林 国际 孔园 家电 齐全 拎包 入住 房东 租价 低免 纠纷 学弟 学妹 生活 愉快,0.9953,pos
打扰了，出租次卧，自己房子，无中介费，郑州大学家属院，视野好，采光好，地铁口，盛和苑西门过马路就到郑州大学！拎包入住！24小时热水，空调家具家电齐全…wifi免费！15903627898  ，谢谢,2023-02-21 10:00,打扰 出租 房子 中介费 郑州大学 家属院 视野 采光 地铁口 盛和苑 西门 马路 郑州大学 拎包 入住 小时 热水 空调 家具 家电 齐全 免费 谢谢,0.9775,pos
蹲一个水工结构的学姐，推荐一个好一点老师。鼠鼠求求了呐,2023-02-22 15:51,水工 结构 学姐 推荐 一点 老师 鼠鼠 求求,0.9743,pos
不知道，帮顶,2023-02-22 19:14,帮顶,0.9216,pos
这种驾照能开啥车啊,2023-02-22 16:57,驾照 能开,0.683,pos
手动挡，自动挡，三轮车,2023-02-22 17:50,手动挡 自动挡 三轮车,0.1056,neg
请问你收到郑州兴航科技的offer了吗,2022-12-30 10:01,请问 收到 郑州 兴航 科技,0.7545,pos
想咨询一些问题，有偿,2023-02-22 17:09,咨询 有偿,0.8437,pos
今年考的化工专硕，排名17，有没有学长学姐给推荐一下导师呀，最好能介绍一下老师的性格~,2023-02-22 17:02,化工 专硕 排名 有没有 学长 学姐 推荐 导师 介绍 老师 性格,0.9984,pos
蹲一个化工学院化学工程学长或学姐，求导师推荐,2023-02-21 18:37,化工学院 化学 工程学 学姐 导师 推荐,0.9815,pos
同求   材料与化工  排名41,2023-02-21 18:42,同求 材料 化工 排名,0.605,pos
如题，我今年报本校的超算，想问下各位学长或者学姐具体导师和上课等问题,2023-02-22 16:56,本校 超算 问下 学长 学姐 导师 上课,0.9725,pos
"RT,鼠鼠被无线网折磨坏了，又听说下学期要拆宽带就没办宽带了",2023-02-22 16:18,鼠鼠 无线网 折磨 听说 下学期 宽带 没办 宽带,0.1721,neg
蹲文博专业文化遗产方向的学长学姐，想请教一些问题，其他方向的也🉑,2023-02-22 16:11,蹲文博 专业 文化遗产 方向 学长 学姐 请教 方向,0.9914,pos
校外人员， 对网络安全感兴趣。目前自学网络安全，0 基础。 想找一位本专业的同学 拜师学习。愿意付费,2023-02-22 13:15,校外 人员 网络安全 感兴趣 自学 网络安全 基础 一位 专业 同学 拜师 学习 付费,0.8908,pos
你不如来学校蹭课,2023-02-22 13:41,学校,0.6978,pos
来郑带蹭课呗,2023-02-22 13:41,郑带,0.6105,pos
学长学姐总结的近3年的资料，包含专业课，政治，英语，自我介绍，以及收集的往年真题等,2023-02-21 15:57,学长 学姐 资料 包含 专业课 政治 英语 自我介绍 收集 往年 真题,0.9786,pos
有力学与安全学院，资源与环境研究生学长学姐吗？有偿买考研资料,2021-04-09 21:12,力学 学院 资源 环境 研究生 学长 学姐 有偿 考研 资料,0.968,pos
我上岸了资源与环境的，专业课代码955安全工程基础。,2021-04-11 12:27,上岸 资源 环境 专业课 代码 安全工程 基础,0.7252,pos
我今年力学院上岸，建议别买真题，不知道哪搞的题就说是真题，小心被骗,2021-04-11 23:50,学院 上岸 建议 别买 真题 真题 小心,0.025,neg
着急，在线等，学长学姐看过来，看过来，准备考报考贵校的 086100交通运输硕士，专业课是984工程力学。或者085700资源与环境硕士，专业课是955安全工程基础，有没有了解的学长学姐给下经验需要什么水平可以上，还有复习资料。,2019-09-15 13:38,着急 在线 学长 学姐 准备考 报考 贵校 交通运输 硕士 专业课 工程力学 资源 环境 硕士 专业课 安全工程 基础 有没有 学长 学姐 经验 水平 复习资料,0.9947,pos
好好复习就行，不用想太多,2019-09-19 09:37,好好 复习 就行 不用 想太多,0.939,pos
我是安全工程的学长，955安全基础的，你有什么问题吗？,2019-09-19 17:41,安全工程 学长 基础,0.9561,pos
保利文化广场跃层，自己家的出租,2023-02-22 14:45,保利 文化 广场 跃层 出租,0.7166,pos
1100，一个月，物业费我们缴,2023-02-22 14:46,一个月 物业费,0.3537,pos
想看了可以加我微信15517551552,2023-02-22 14:46,微信,0.7058,pos
篮球社还收人吗？有没有群,2023-02-22 14:22,篮球 收人 有没有,0.2332,neg
想蹲一下水利工程的学长学姐，有些复试和导师的问题想咨询一下，可有偿,2023-02-22 14:37,水利工程 学长 学姐 复试 导师 咨询 有偿,0.9938,pos
私信哦,2023-02-22 14:29,私信,0.9766,pos
第一次重修没过，第二次重修及格线还是70吗？会加码到80吗？,2023-02-21 17:00,第一次 重修 第二次 重修 及格线 加码,0.8769,pos
60分就是及格，和重修补考没关系的,2023-02-21 22:40,及格 重修 补考 没关系,0.1291,neg
教务系统进不去啊啊啊啊啊，又崩了？,2023-02-22 14:15,教务 系统 进不去 啊啊啊,0.0824,neg
给孩子说一下各个老师性格，谢谢了,2023-02-22 14:00,孩子 老师 性格 谢谢,0.993,pos
解决大家学校里做头发不好看的问题,2023-02-22 13:55,解决 学校 头发 好看,0.9926,pos
一直都想找学长咨询问题，线上导致我还什么都不懂，,2023-02-09 10:10,学长 咨询 线上 导致,0.5967,pos
我怎么听到有人说计算机技术基础（双语版）的是开卷考试啊，应该不太可能吧,2023-02-09 10:11,听到 有人 计算机技术 基础 双语版 开卷考试 不太可能,0.1206,neg
专业课什么时候考试有消息了吗，有点慌啊。,2023-02-09 10:13,专业课 考试 消息,0.4895,pos
计算机院吧,2023-02-09 12:48,计算机,0.6864,pos
有没有计算机技术基础往年的卷子啊,2023-02-22 13:47,有没有 计算机技术 基础 往年 卷子,0.8326,pos
有无物理学院仪器仪表工程的学姐学长可以给孩子推荐一下导师,2023-02-22 13:46,有无 物理 学院 仪器仪表 工程 学姐 学长 孩子 推荐 导师,0.9977,pos
计算机科学与技术，今年多少分呢求分享,2023-02-22 13:30,计算机科学 技术 分享,0.9755,pos
